mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__n_estimators,param_estimator__min_samples_split,param_estimator__max_leaf_nodes,param_estimator__max_depth,param_estimator,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5510126113891601,0.0890490319336843,0.09445929527282715,0.03116315571986163,200,16,18,8,"ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=8, max_features='auto', max_leaf_nodes=20,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=20, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=-1, oob_score=False,
                    random_state=42, verbose=0, warm_start=False)","{'estimator__n_estimators': 200, 'estimator__min_samples_split': 16, 'estimator__max_leaf_nodes': 18, 'estimator__max_depth': 8, 'estimator': ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=8, max_features='auto', max_leaf_nodes=20,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=20, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=-1, oob_score=False,
                    random_state=42, verbose=0, warm_start=False)}",0.8580793266651914,0.8531350317651778,0.8015024432135983,0.8558166872351409,0.8811045390839347,0.8499276055926085,0.02618555691615578,111
0.13398184776306152,0.012478316165546233,0.04024820327758789,0.017135221069528785,50,8,16,5,"ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=8, max_features='auto', max_leaf_nodes=20,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=20, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=-1, oob_score=False,
                    random_state=42, verbose=0, warm_start=False)","{'estimator__n_estimators': 50, 'estimator__min_samples_split': 8, 'estimator__max_leaf_nodes': 16, 'estimator__max_depth': 5, 'estimator': ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=8, max_features='auto', max_leaf_nodes=20,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=20, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=-1, oob_score=False,
                    random_state=42, verbose=0, warm_start=False)}",0.8615761550110397,0.8489070060779523,0.8097567186604683,0.8506978574581244,0.86886893482114,0.8479613344057448,0.020447330450776447,204
0.6530914783477784,0.02577899939295424,0.07274928092956542,0.01712222206170569,300,12,16,10,"ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=8, max_features='auto', max_leaf_nodes=20,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=20, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=-1, oob_score=False,
                    random_state=42, verbose=0, warm_start=False)","{'estimator__n_estimators': 300, 'estimator__min_samples_split': 12, 'estimator__max_leaf_nodes': 16, 'estimator__max_depth': 10, 'estimator': ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=8, max_features='auto', max_leaf_nodes=20,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=20, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=-1, oob_score=False,
                    random_state=42, verbose=0, warm_start=False)}",0.8578272815900739,0.8508890651065137,0.8018639803446408,0.8520253736116158,0.8751380330455709,0.8475487467396832,0.024434045072606502,223
0.5301870346069336,0.03025507983534306,0.05501432418823242,0.018213600739625888,150,18,18,6,"RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=-1, oob_score=False,
                      random_state=42, verbose=0, warm_start=False)","{'estimator__n_estimators': 150, 'estimator__min_samples_split': 18, 'estimator__max_leaf_nodes': 18, 'estimator__max_depth': 6, 'estimator': RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=-1, oob_score=False,
                      random_state=42, verbose=0, warm_start=False)}",0.825502816996287,0.8331776668001096,0.8018630020002708,0.8625187429628864,0.8686240537556453,0.8383372565030399,0.024591664523232346,646
0.6198267459869384,0.06784707828635873,0.09370994567871094,0.022346060044968807,150,22,10,8,"RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=-1, oob_score=False,
                      random_state=42, verbose=0, warm_start=False)","{'estimator__n_estimators': 150, 'estimator__min_samples_split': 22, 'estimator__max_leaf_nodes': 10, 'estimator__max_depth': 8, 'estimator': RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=-1, oob_score=False,
                      random_state=42, verbose=0, warm_start=False)}",0.8240175348603773,0.8295435498474333,0.7899808833744861,0.8553329339010569,0.8567997640946332,0.8311349332155974,0.02445842374282954,990
0.47617483139038086,0.12529400722838416,0.0021233558654785156,0.00012295955996596974,300,14,18,5,"GradientBoostingRegressor(alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse',
                          init=None, learning_rate=0.1, loss='ls', max_depth=3,
                          max_features=None, max_leaf_nodes=None,
                          min_impurity_decrease=0.0, min_impurity_split=None,
                          min_samples_leaf=1, min_samples_split=2,
                          min_weight_fraction_leaf=0.0, n_estimators=100,
                          n_iter_no_change=None, presort='deprecated',
                          random_state=42, subsample=1.0, tol=0.0001,
                          validation_fraction=0.1, verbose=0, warm_start=False)","{'estimator__n_estimators': 300, 'estimator__min_samples_split': 14, 'estimator__max_leaf_nodes': 18, 'estimator__max_depth': 5, 'estimator': GradientBoostingRegressor(alpha=0.9, ccp_alpha=0.0, criterion='friedman_mse',
                          init=None, learning_rate=0.1, loss='ls', max_depth=3,
                          max_features=None, max_leaf_nodes=None,
                          min_impurity_decrease=0.0, min_impurity_split=None,
                          min_samples_leaf=1, min_samples_split=2,
                          min_weight_fraction_leaf=0.0, n_estimators=100,
                          n_iter_no_change=None, presort='deprecated',
                          random_state=42, subsample=1.0, tol=0.0001,
                          validation_fraction=0.1, verbose=0, warm_start=False)}",0.8304098160870473,0.8229513796784069,0.8023271047391574,0.8599647610860448,0.8540495759037522,0.8339405274988817,0.021044098236929102,904
0.6923078536987305,0.06003592436152415,0.06561965942382812,0.01858065056456274,200,14,10,6,"RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=-1, oob_score=False,
                      random_state=42, verbose=0, warm_start=False)","{'estimator__n_estimators': 200, 'estimator__min_samples_split': 14, 'estimator__max_leaf_nodes': 10, 'estimator__max_depth': 6, 'estimator': RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=-1, oob_score=False,
                      random_state=42, verbose=0, warm_start=False)}",0.8226984446897696,0.8230130071194669,0.788911390099289,0.8589096837174635,0.8550350840616373,0.8297135219375253,0.02550497810722213,1018
0.9653469085693359,0.022896497965496882,0.08496856689453125,0.008763991106131264,300,12,16,8,"RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=-1, oob_score=False,
                      random_state=42, verbose=0, warm_start=False)","{'estimator__n_estimators': 300, 'estimator__min_samples_split': 12, 'estimator__max_leaf_nodes': 16, 'estimator__max_depth': 8, 'estimator': RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=-1, oob_score=False,
                      random_state=42, verbose=0, warm_start=False)}",0.8270678975445943,0.8313573335316706,0.8047320078323619,0.8683218772679251,0.8666777777346975,0.8396313787822498,0.02449048540950927,583
0.11439385414123535,0.01955648749256333,0.029071712493896486,0.015729139679932336,50,18,16,8,"ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=8, max_features='auto', max_leaf_nodes=20,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=20, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=-1, oob_score=False,
                    random_state=42, verbose=0, warm_start=False)","{'estimator__n_estimators': 50, 'estimator__min_samples_split': 18, 'estimator__max_leaf_nodes': 16, 'estimator__max_depth': 8, 'estimator': ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=8, max_features='auto', max_leaf_nodes=20,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=20, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=-1, oob_score=False,
                    random_state=42, verbose=0, warm_start=False)}",0.8584112025226579,0.8442589849272488,0.8089755352185096,0.8535499471960635,0.878916147505231,0.8488223634739421,0.02292826144849213,154
0.6269236087799073,0.035167329491158965,0.08059153556823731,0.00651476922359803,300,14,18,8,"ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=8, max_features='auto', max_leaf_nodes=20,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=20, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=-1, oob_score=False,
                    random_state=42, verbose=0, warm_start=False)","{'estimator__n_estimators': 300, 'estimator__min_samples_split': 14, 'estimator__max_leaf_nodes': 18, 'estimator__max_depth': 8, 'estimator': ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=8, max_features='auto', max_leaf_nodes=20,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=20, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=-1, oob_score=False,
                    random_state=42, verbose=0, warm_start=False)}",0.8557096867570343,0.8513568148453111,0.8001151300374834,0.8566608856200731,0.8789641667523559,0.8485613368024515,0.02606101807100858,167
